main_address,rental_type
1111 MAXWELL AV 127,Standard Rental
1111 MAXWELL AV 201,Standard Rental
1111 MAXWELL AV 204,Standard Rental
1111 MAXWELL AV 206,Standard Rental
1111 MAXWELL AV 207,Standard Rental
1111 MAXWELL AV 208,Standard Rental
1111 MAXWELL AV 209,Standard Rental
1111 MAXWELL AV 211,Standard Rental
1111 MAXWELL AVE 219,Standard Rental
1111 MAXWELL AVE 221,Standard Rental
1111 MAXWELL AV 225,Standard Rental
1111 MAXWELL AV 226,Standard Rental
1111 MAXWELL AV 227,Standard Rental
1111 MAXWELL AV 228,Standard Rental
1111 MAXWELL AVE 233,Standard Rental
1111 MAXWELL AV 234,Standard Rental
1111 MAXWELL AV 236,Standard Rental
1111 MAXWELL AV 238,Standard Rental
1111 MAXWELL AVE 240,Standard Rental
1111 MAXWELL AV 241,Standard Rental
1111 MAXWELL AV 101,Standard Rental
1025 PORTLAND PL 1,Standard Rental
1025 PORTLAND PL 2,Standard Rental
